"name","address","phone","website","rating","reviewSnippet"
"Charles Pollak, DDS","30 E 40th St, New York, NY 10016","(212) 683-2066","http://www.cpollak.com","5","Dr. Pollak has treated my family for over a decade. 14 years ago the bridge he made for me is holding strong and looks as good as the day we got it. Thanks to Dr. Pollak for…"
"Dr. Lana Rozenberg, DDS","15 Avenue A, New York, NY 10009","(212) 677-2510",,"5","I had a general consultation and they were able to fit in a cleaning and a fluoride rinse. I haven't seen a dentist in 5+ years so it was definitely a needed trip, however they…"
"Dr. Inna Chern, DDS","133 E 58th St Ste 409, New York, NY 10022","(212) 838-0842","https://newyorkgeneraldentistry.com","5","Dr. Chern is great!!!Stella was super helpful with answering my insurance questions and Lesly was great at taking my xrays. I left cavity free and excited to come…"
"Dr. Nancy Ma, DDS","80 Bowery Rm 502, New York, NY 10013","(212) 925-2532",,"5","my visits are always great and welcoming. The dentist here at Primary Dental Care are always looking out for the patient. I always dread the dental visit specially if I must…"
"Irina Sinensky, DDS","30 5th Ave Apt 1G, New York, NY 10011","(212) 673-3700","http://www.rossinski.com","5","It's a very good experience. Dr.Sinensky explains everything clear and patiently."""
"Namik Yusufov, DDS, MDT","305 W 28th St, New York, NY 10001","(212) 804-0500","http://www.smileexp.com","5","Dr. Yusufov is kind, knowledgeable, and always makes me feel at ease when I come to visit. The entire staff is happy to help your entire appointment go as seamlessly as…"
"Dr. Michael Wei D.D.S.","425 Madison Ave, New York, NY 10017","(212) 982-4080","http://mymanhattancosmeticdentist.com","5","I have been very picky in choosing a cosmetic dentist  in Manhattan to do my smile makeover. I did extensive research on him for a few years. After the first consultation with…"
"Dr. Yakov M. Royzman, DDS","145 W 71st St Apt 1G, New York, NY 10023","(212) 579-0552","http://www.royzmandental.com","5","I've been going to Dr. Royzman for around 6 years, maybe more. I go to him even though his office is not in my neighborhood, because I love Dr. Royzman! Thorough, with years of…"
"Gentle Family Dentistry Fishkin Margarita","128 Fort Washington Ave Apt K, New York, NY 10032","(212) 781-1100",,"5","The staff was very helpful and comforting Margarita Fishkin was very thorough. I love her and the great service that she provides."""
"Expert Dental PC","110 E 40th St Rm 104, New York, NY 10016","(212) 682-2965","http://www.expertdentalnyc.com","5","Superb dentists, new fresh clean facility, easy location at Grand Central, no-problem billing disclaims co-pays/co-insurance/fees upfront, good software bills correctly and…"
"Dr. Samuel Rudick & Associates","119 W 57th St Ste 1420, New York, NY 10019","(212) 757-5749","http://www.drrudick.com","5","Very good. The staff was very personable and I really like. I would be recommending this place to all my friends and family members."""
"65 Broadway Dental","New York 10006, New York, NY 10006","(212) 430-3888","http://www.65broadwaydental.com","5","They are so friendly here!  Great dentist!!!"""
"Nusblatt Dental","60 E 9th St Apt 206, New York, NY 10003","(212) 651-1605","https://www.nusblattdental.com","5","Been seeing Dr. Nusblatt for over 25 years, since I was around 5 years old. He is an amazing dentist who always puts his customers first."""
"Alice Urbankova DDS, P","630 5th Ave Ste 1860, New York, NY 10111","(212) 765-7340","https://www.preserveyourteeth.com","5","Dr. Urbankova is an angel disguised as a dentist!  Not only are her medical/dental skills excellent, her desire to give the best treatment is unsurpassed.  She is kind and…"
"Wu Darryl DDS PC","41 Elizabeth St # 303, New York, NY 10013","(212) 925-7757","http://darrylwudds.com","5","Very informative and professional.Two thumbs up!"""
"Robert Veligdan, DMD, PC","343 W 58th St, New York, NY 10019","(212) 832-2330","http://www.drveligdan.com","5","Everyone Compassionate w beau smiles and ready to help"""
"Dr. Jacob J. Kirsch, DDS","115 W 86th St, New York, NY 10024","(212) 579-0213","https://www.kirschdds.com","5","I've been seen Dr KIrsch for years, he has a practice that is both professional and personal. There are few doctors like him with tradition, dedication and on the edge of…"
"Beth Caunitz, D.D.S.","30 East 40th Street, Suite 406, New York, NY 10016","(212) 206-9002","http://bethcaunitzdds.com","5","Most people hate going to the dentist and I am no exception.  Dr. Caunitz and her staff do everything possible to make the visits comfortable and effective."""
"Avm Dental Center Inc","282 Grand St, Jersey City, NJ 07302","(201) 433-8600","http://www.avmdental.net","5","Super friendly!!! Super accommodating!!!! Always makes my dental visit a very nice experience!!!!"""
"Deutch, Robert N, DDS","59 E 54th St, New York, NY 10022","(212) 753-9860","http://www.rosenanddeutchdentistry.com","5","Dr Robert  Deutch has been my dentist for over 15 years and it is always a 5 Star experience! Staff is friendly and professional. Hygienist Rula is great. I can actually say…"
"Dr. Robert M. Sorin DMD PC","425 Madison Ave Rm 405, New York, NY 10017","(212) 355-3533","http://nycdmd.com","5","i've been coming here for years and hope to come for another decade or three"""
"Tribeca Smiles","44 Lispenard St, New York, NY 10013","(212) 473-4444","http://www.tribecasmiles.com","5","Would def come back again"""
"Century Dental Associates","111 John St Lbby, New York, NY 10038","(212) 587-3000","https://www.centurydentalny.com","5","My mother and have been going to Dr. Morovati for years, I have no complaints, he and his staff are awesome."""
"Martin Man DMD","185 Park Row Ste 6, New York, NY 10038","(212) 962-1305","http://www.martinmandmd.com","5","I went for a cleaning and I was satisfied with service. All the equipments are up to date. Dr. man takes time to diagnosis everything and to understand your needs. The front…"
"Lotus Smiles","282 Grand St, Jersey City, NJ 07302","(201) 433-8600","http://www.lotussmiles.com","5","Dr. Milman ensures there is no pain during any procedure.  I was having a lot of anxiety prior to my procedure but he calmed my nerves and I had a great experience. Also, on…"
"Keith R. Marshall, DDS","38 Gramercy Park N Apt 1D, New York, NY 10010","(212) 475-8038","http://www.teethbykeith.com","5","i have had dental problems since i was a child.i have been to many dds including director of dentistry at both nyu and columbia med cntrs. keith is the BEST dentist i have ever…"
"Ernest A. Robertson, DDS","470 Malcolm X Blvd, New York, NY 10037","(212) 283-4800","http://www.harlemdentistry.com","5","I always have a great time at the office. They're quick, efficient, and thorough. I'm so glad I found this place!"""
"Nick M Mobilia DDS","9 E 45th St 6th Fl, New York, NY 10017","(212) 681-0939","http://www.elitedentalarts.com","5","Make me feel very comfortable and they took great care of me and my teeth."""
"Oren Rahmanan, DDS","1 Rockefeller Plz Rm 2223, New York, NY 10020","(212) 581-6736","http://www.orenrahmanandds.com","5","I was having a lot of tooth pain and had been to many dentists and continued to be in pain. Dr. Rahmanan identified a few paths to help relieve the pain, talked me through pros…"
"Dr. YooKyung Park, DDS","42 Broadway 1515, New York, NY 10004","(212) 269-6655","http://broadwaycosmeticdentistry.com","5","Isabel did an incredible job on my cleaning and gave me excellent advice. Thanks for the incredible visit!"""
"Megan S Chin, DDS","41 7th Ave, New York, NY 10011","(212) 373-4651","https://www.playhousedentalforkids.com","5","Office is great, doctor is great, staff are amazing. would come back and tell everyone about it!"""
"Robert Zarabi, DDS","150 E 58th St 8th Fl, New York, NY 10155","(716) 687-0491","http://www.zarabidental.com","5","I had a terrible gum infection that required an invasive procedure. Dr. Zarabi was very clear with his diagnosis and checked with me each step of the way on how I was feeling…"
"Randolph Diamond, DDS","285 W End Ave, New York, NY 10023","(212) 873-2651","http://www.scarsdaledental.com","5","I've been a patient of Dr. Diamond for years and he never disappoints. Never has me waiting long to be seen."""
"Michael T. Rogers, DMD","70 E 10th St, New York, NY 10003","(212) 473-3344","https://michaelrogers.com","5","Michael Rogers has been taking care of my teeth since I moved to NYC in 1982.  He genuinely cares and always takes the time to make things right.  I can't recommend him highly…"
"Leena Lakhkar, DDS","57 W 57th St Ste 1405, New York, NY 10019","(212) 759-2520",,"5","Dr. Lahkar is an outstanding dentist. I have recommended her to several of my friends and colleagues. They all were impressed with her skill and expertise.  Dr. Lahkar and…"
"Dr. Wen Li-Cavallo, DDS","36 Pell St 2nd Fl, New York, NY 10013","(212) 233-6606","http://www.belladentalnyc.com","5","I suspected I had a cavity and was worried because I don't have dental insurance. Dr. Li's office worked with me to schedule an appointment within days, and offered a very…"
"Dr. Lawrence Limb, DMD","1995 Broadway Ste 205, New York, NY 10023","(212) 877-5577",,"5","we love the office, dr. limb and awesome staff."""
"Vera Chernomordik, DMD","305 W 28th St Ofc 1ST, New York, NY 10001","(212) 804-0500","http://www.smileexp.com","5","Highly skilled. Always takes her time to provide the highest quality dental care.  Highly recommended."""
"Kristin Harrison, DMD","515 Madison Ave Ste 3900, New York, NY 10022","(212) 935-9300","https://www.madisondental.com","5","Lori and Kristin were both very attentive and answered my questions. Very happy with my experience."""
"Nhat M Nguyen-Win, DDS","239 Washington St, Jersey City, NJ 07302","(201) 332-4699","https://www.myjerseycitydentist.com","5","I have been coming to East Coast Family Dentistry for many years now. I love Dr Nguyen and Dr Sese. The doctors and staff are excellent. It may be hard to believe but I…"
"Salm Clifford","30 E 60th St #702, New York, NY 10022","(347) 640-5989","https://www.salmdental.com","5","Dr. Salm is great. Very pleasant and friendly. Always receive great care from him."""
"Wayne Silverstein, DMD","800a 5th Ave Ste 502, New York, NY 10065","(212) 685-6221","http://www.drwaynesilverstein.com","5","Dr. Silverstein is a kind and caring dentist. He has been my dentist for nearly twenty years and I've always been happy with his manner and soft touch. I highly recommend him."""
"Charles M. Marks, DDS","347 5th Ave Rm 1310, New York, NY 10016","(212) 279-1232","http://newyork.citysearch.com/profile/47431222/new_york_ny/dr_charles_marks.html","5","I had a few issues with teeth, root canal through a crown (they saved the existing crown) a new crown on a tooth that broke, replaced old silver  amalgam with white fillings,…"
"Herskovits Gary DDS","115 W 77th St, New York, NY 10024","(718) 745-3456",,"4.5","Great experience at this office - fantastic, fast dental work. Office staff takes great care of you and is attentive to your needs. Great dentist!"""
"Dr. Alfred Y Ho, DDS","139 Centre St Ste 718, New York, NY 10013","(212) 227-7677","http://www.alfredhodental.com","5","I have seen Dr. Ho since I was a child and now he's my son's dentist too.  He is great with children and makes you feel comfortable.  I would highly recommend Dr. Ho."""
"Marshall S. Dicker, DMD","325 Broadway, New York, NY 10007","(212) 962-7565",,"4.5","I had a good experience for sure.Might seem strange for a dental visit but really they are so concened about your time there so the staff'\s main concern is having a stress…"
"Dental Emergency Svce of Staten Island","111 Fort Greene Pl, Brooklyn, NY 11217","(718) 852-2022",,,
"Patterson Dental Emergency Inc","405 Lexington Ave, New York, NY 10174","(646) 553-1600",,"5","It's more than worth it. I have Patterson's number handy in case I or my family and friends will need an emergency service. Finding such a great service will be hard in NYC."""
"Atlantic Dental Care Pc","502 Atlantic Ave, Brooklyn, NY 11217","(718) 643-9010","http://www.atlanticdentalcarepc.com","4","Going to the dentist is a very positive experience for me. Everyone that works atAtlantic Dental Care is very professional and friendly. It is obvious that customer…"
"Metropolitan Dental Associates","447 Fulton St, Brooklyn, NY 11201","(718) 875-3200","http://www.downtown-manhattan-dental.com","3","My experience with this dentist is fine, when It comes to getting my teeth clean. The wait is pretty long if you don't have an early appointment. Sometimes having an early…"
"Manhattan Family Dental","320 E 53rd St, New York, NY 10022","(212) 223-7946","http://www.manhattanfamilydentalcare.com",,
"Dr. Richard R Goldstein, DDS","27 W 96th St Apt 1AA, New York, NY 10025","(212) 864-1390","http://upperwestsmile.com",,
"Debiasi & Tomasulo","120 E 56th St Rm 1100, New York, NY 10022","(212) 753-5250","http://www.dtsmiledesign.com",,
"Dr. Martina Reynolds DDS","57 W 57th St Ste 806, New York, NY 10019","(212) 753-5471","http://www.centralparkdentistmartinareynolds.net",,
"Richard Hochenberg, DDS","130 W 86th St, New York, NY 10024","(212) 724-5506","https://www.hochenbergdental.com/privacy-policy",,
"Yael Freeman, DDS","120 E 56th St Rm 1100, New York, NY 10022","(212) 486-4688",,,
"Neal Vallins DDS","800a 5th Ave Ste 305, New York, NY 10065","(212) 371-6887","http://www.nealvallinsdds.com",,
"Wall Street Dental Spa","30 Wall St Ste 720, New York, NY 10005","(212) 514-5514","https://www.wallstdentalspanyc.com",,
"Gregory Stephen Hull, DDS","2 5th Ave Apt 31, New York, NY 10011","(212) 598-4433",,"5","Sigh - I remember him above all of my other dentists and miss him terribly!"""
"B A Integlia, DDS","767 Lexington Ave, New York, NY 10065","(212) 319-9756",,,
"Ny 1 Dental Associated Pc","305 W 28th St, New York, NY 10001","(212) 804-0500","https://www.jalvarezlaw.com/contact.html",,
"Dr. Alexandra Hara-Schnitzlein, DMD","133 E 58th St Ste 804, New York, NY 10022","(212) 308-9696",,,
"Park Dental NYC","515 Madison Ave Rm 1212, New York, NY 10022","(680) 204-6925","https://www.parkdentalnyc.com",,
"Lisa Kang, DDS","18 E 50th St Fl 8, New York, NY 10022","(212) 688-2452",,,
"Dr. Carlos Manuel Ovalle, DDS","201 Wadsworth Ave Ste GD2, New York, NY 10033","(212) 927-1721",,"5","Friendly staff, very good dentist"""
"Kastenbaum Fred","580 Park Ave, New York, NY 10065","(212) 319-8787","http://www.kastenbaumpros.com",,
"212 Dental Care","286 Madison Ave Ste 1000, New York, NY 10017","(212) 337-9571","http://www.212dentalcare.com",,
"Kuncio Orthodontics","315 W 70th St Apt 1J, New York, NY 10023","(718) 878-4822","https://www.kuncioorthodontics.com","4.5","I was very concerned about my smile. Had a lot of spaces between my teeth and found it difficult to speak. I shied away from crowd and had a closed smile. Until i met  Dr.…"
"Studio 57 Dental","57 W 57th St Ste 1104, New York, NY 10019","(212) 421-4887","https://www.studio57dental.com",,
"New Broadway Dental","1501 Broadway, New York, NY 10036","(212) 398-1969","http://www.newbroadwaydental.com",,
"East Side Smiles","333 E 79th St, New York, NY 10075","(212) 744-5544","http://www.eastsidesmilesnyc.com",,
"Manhattan Best Dental Care","1623 3rd Ave Ste 204, New York, NY 10128","(212) 722-4088",,,
"CreoDent","29 W 30th St, New York, NY 10001","(212) 302-3860","http://www.creodental.com",,
"Richard Hochenberg, DDS","130 W 86th St, New York, NY 10024","(212) 724-5506","https://www.hochenbergdental.com/privacy-policy",,
"Patterson Dental Emergency Inc","405 Lexington Ave, New York, NY 10174","(646) 553-1600",,"5","It's more than worth it. I have Patterson's number handy in case I or my family and friends will need an emergency service. Finding such a great service will be hard in NYC."""
"Debiasi & Tomasulo","120 E 56th St Rm 1100, New York, NY 10022","(212) 753-5250","http://www.dtsmiledesign.com",,
"Manhattan Family Dental","320 E 53rd St, New York, NY 10022","(212) 223-7946","http://www.manhattanfamilydentalcare.com",,
"Dr. Richard R Goldstein, DDS","27 W 96th St Apt 1AA, New York, NY 10025","(212) 864-1390","http://upperwestsmile.com",,
"Juan Pablo Collado, DDS","520 W 190th St Ste A, New York, NY 10040","(212) 568-3231","http://phone.instantcheckmate.com",,
"Family Dental PC","645 W 207th St, New York, NY 10034","(212) 304-1666",,,
"Dr. Kara Mason, DMD","30 E 60th St Rm 503, New York, NY 10022","(212) 355-2195","http://www.gentledentalnyc.com","5","Extremely knowledgeable of craft with sincere care for her patients."""
"Perio NYC West: David P. Pitman, DMD","57 W 57th St, New York, NY 10019","(212) 888-2833","https://www.perionyc.com","5","I've been a long time patient and have only very positive things to say about Dr. Poiman and his entire team."""
"Rubin Esther S","18 E 48th St, New York, NY 10017","(212) 593-7272","http://www.holisticdentistrynyc.com","5","I've been a patient for many years now.  I'm always impressed with the great balance of professional and personal attention I receive in Dr. Rubin's office.  Everyone in the…"
"Shaun Massiah DMD PC","50 W 97th St Apt 1C, New York, NY 10025","(212) 222-5225","http://www.drmassiah.com","5","I like when doctor Massiah  plays music when doing his dental work. I think he really puts his feelings into his work.From Theo, age 10"""
"Irina Rossinski, DDS","30 5th Ave Apt 1G, New York, NY 10011","(212) 673-3700","http://www.rossinski.com","5","Dr. Rossinski has been a wonderful dentist for the past 10+ years I have been a patient. She is calm and considerate when she does procedures. She explains the entire procedure…"
"Isler Stuart","24 Washington Sq N, New York, NY 10011","(212) 777-9977","http://www.islerdentistry.com",,
"Dr. Milan Segall, DDS","11 5th Ave, New York, NY 10003","(212) 979-0020","http://www.milansegalldds.com",,
"Dr. Ivy Peltz, DDS","11 5th Ave, New York, NY 10003","(212) 254-7154","https://www.ivypeltzdds.com",,
"Daniel Rudolph DDS","69 W 9th St, New York, NY 10011","(212) 477-0430",,,
"Khani, William, DDS","85 4th Ave, New York, NY 10003","(212) 260-2322",,,
"Barbara D Slaska, DDS","77 E 12th St, New York, NY 10003","(212) 254-1332",,,
"Dr. Kevin Lehman, DDS","154 W 14th St, New York, NY 10011","(212) 777-7727","http://dentalartsllc.com",,
"Michael Delaney DDS","212 W 15th St Frnt 1ST, New York, NY 10011","(212) 366-5900",,,
"Joeun Dental","16 W 32nd St Rm 507, New York, NY 10001","(212) 563-9360","http://www.joeundental.com",,
"Amir Ahmadi DDS","164 Madison Ave, New York, NY 10016","(212) 685-2890","http://citidentalgroup.com",,
"Stephen Howard Fassman, DDS","35 E 35th St Rm 1K, New York, NY 10016","(212) 689-2000",,,
"Hidemi Takezawa DDS","481 8th Ave, New York, NY 10001","(212) 967-0817",,,
"David Rabinowitz, DDS","248 W 35th St Rm 904, New York, NY 10001","(212) 563-6548",,,
"Alter Steven M DDS","30 E 40th St Rm 306, New York, NY 10016","(212) 983-5992","http://www.stevenalterdds.com",,
"Dr. Bapanaiah Penugonda, DDS, MS","19 W 44th St Ste 400, New York, NY 10036","(212) 840-2079",,,
"Matthew Kaufman DDS","230 Park Ave, New York, NY 10169","(212) 319-3999",,,
"Park Avenue Ctr-Dental Arts","230 Park Ave, New York, NY 10169","(212) 286-0716","http://www.parkave-dental.com/contact-us.html",,
"Dane, David S, DDS","18 E 48th St Rm 1603, New York, NY 10017","(212) 750-1603","http://www.manhattanendodontics.com",,
"Dr. Dominick Giordano, DMD","367 W 49th St, New York, NY 10019","(212) 367-7120","http://www.dgdentalandcosmetic.com",,
"Weller & Einbinder: Weller Robert DDS","515 Madison Ave Rm 1610, New York, NY 10022","(212) 838-7622",,,
"Dental Network Associates","515 Madison Ave Rm 1610, New York, NY 10022","(212) 319-1777",,,
"Alice B Deutsch, DMD","515 Madison Ave Rm 1212, New York, NY 10022","(212) 697-1122",,,
"Dr. Annette A Varga, DMD","150 E 56th St, New York, NY 10022","(212) 223-3293",,,
"Phyllis Ho DDS","140 E 56th St Apt 1C, New York, NY 10022","(212) 750-3024",,,
"Giugliano Thomas S","60 E 56th St, New York, NY 10022","(212) 399-9320",,,
"Steven Jay Salman, DDS","30 Central Park S Rm 13b, New York, NY 10019","(212) 752-8600",,,
"Mahtab Azimi DDS","433 E 56th St, New York, NY 10022","(212) 355-2225",,,
"Dominika T Lango, DDS","435 E 57th St, New York, NY 10022","(212) 688-7222",,,
"Nathan Korn DDS","595 Madison Ave Rm 2008, New York, NY 10022","(212) 308-4221",,,
"Rennert, Morton C, DDS","57 W 57th St, New York, NY 10019","(212) 355-5640",,,
"Liew, Enn Kong, DDS","57 W 57th St, New York, NY 10019","(212) 355-6896",,,
"Skolnick, Jeffrey A, DDS","133 E 58th St, New York, NY 10022","(212) 838-4267",,,
"Dr. Robert R Israel, DDS","1414 Avenue Of The Americas, New York, NY 10019","(212) 755-5854","http://www.robertnyc.com",,
"Dr. Stephen Miller, DMD","30 Central Park S Rm 7C, New York, NY 10019","(212) 755-5557",,,
"Su Grace DDS","30 Central Park S, New York, NY 10019","(212) 753-8105","http://www.gracesupainting.com",,
"Dr. Howard H Berman, DMD","30 Central Park S Rm 14C, New York, NY 10019","(212) 755-6818","http://www.howardbermanandassociates.com",,
"Dr. E.J. Bartolazo","330 W 58th St Ste 205, New York, NY 10019","(212) 265-3224","http://www.columbuscircledentist.com",,
"Len Schwarzbaum, DDS","115 E 67th St, New York, NY 10065","(212) 517-8106","http://www.lenschwarzbaumdds.com",,
"Dental Love","501 Main St, New York, NY 10044","(212) 752-8722","http://www.mydentallove.com",,
"Feinberg, Lloyd Alan, DDS","923 5th Ave, New York, NY 10021","(212) 288-0611",,,
"Richard A Wolff DDS PC","14 E 75th St, New York, NY 10021","(212) 535-6444","http://richardawolffdental.com",,
"Dr. George Kralik, DDS","239 E 79th St Apt 1A, New York, NY 10075","(212) 988-1844",,,
"Dr. Zdenka Hauner- Manley, DDS","425 E 79th St Apt 1W, New York, NY 10075","(212) 772-2953","http://www.hauner.com",,
"Dr. Jose Torres, DDS","470 W End Ave, New York, NY 10024","(212) 799-0893",,,
"Alan Jaslove Dds Pc","160 E 88th St, New York, NY 10128","(212) 722-5200","http://www.jaslovedental.com",,
"Greta Silver","262 Central Park W, New York, NY 10024","(212) 787-2248",,,
"Bridge Dentists","427 Fort Washington Ave, New York, NY 10033","(212) 795-8070",,,
"Emmanuela Mena, DDS","801 W 181st St Apt 9, New York, NY 10033","(212) 740-4040",,,
